rand,select,common_name,scientific_name,group,state_status,federal_status,global_rank,state_rank,global_rank_2,plan_date,rpn,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp,rpn_sort
0.385951708,0,Cokendolpher Cave Harvestman,Texella cokendolpheri,Invertebrate,,Endangered,G1,S1,1,2011/09/12 00:00:00,5C,121574,8420,11226,141220,12,75000,7890,5
0.544995607,0,Comal Springs Dryopid Beetle ,Stygoparnus comalensis,Invertebrate,Endangered,Endangered,G1G2,S1,1.5,1996/02/14 00:00:00,1C,583008,21978,16782,621768,15,254886,19659,1
0.028673986,1,Comal Springs Riffle Beetle,Heterelmis comalensis,Invertebrate,Endangered,Endangered,G1,S1,1,1996/02/14 00:00:00,2C,665788,45694,24482,735964,15,207377,38359,2
0.58900904,0,Diamond Y Spring Snail,Pseudotryonia adamantina,Invertebrate,Endangered,Endangered,G1,S1,1,,UNK,20000,310,0,20310,1,20310,20310,
0.956482927,0,Diminuitie Amphipod,Gammarus hyalleloides,Invertebrate,Endangered,Endangered,G1,S1,1,,UNK,27000,3000,0,30000,3,20500,7500,
0.164842342,0,False Spike,Quadrula mitchelli,Invertebrate,Threatened,Not listed,GH,SH,5.5,,,,,,,,,,
0.24109949,0,Golden Orb,Quadrula aurea,Invertebrate,Threatened,Candidate,G1,S2,1,,,,,,,,,,
0.869287947,0,Gonzales Springsnail,Tryonia circumstriata,Invertebrate,Endangered,Endangered,G1,S1,1,,UNK,,,,,,,,
0.334347749,0,Government Canyon Bat Cave Meshweaver,Cicurina vespera,Invertebrate,,Endangered,G1,S1,1,2011/09/12 00:00:00,2C,355678,31380,12985,400043,15,204700,10085,2
0.607762422,0,Government Canyon Bat Cave Spider,Tayshaneta microps,Invertebrate,,Endangered,G1,S1,1,,,,,,,,,,
0.94337527,0,Helotes Mold Beetle,Batrisodes venyivi,Invertebrate,,Endangered,G1,S1,1,2011/09/12 00:00:00,2C,334285,12480,10451,357216,14,202600,9720,2
0.081586672,1,Kretschmarr Cave Mold Beetle,Texamaurops reddelli,Invertebrate,,Endangered,G1G2,S1,1.5,1994/08/25 00:00:00,2C,88566,30320,18454,137340,15,30500,5000,2
0.316790354,0,Louisiana Pigtoe,Pleurobema riddellii,Invertebrate,Threatened,Not listed,G1G2,S1,1.5,,,,,,,,,,
0.021953344,1,Madla Cave Meshweaver,Cicurina madla,Invertebrate,,Endangered,G1,S1,1,2011/09/12 00:00:00,2C,362281,1589715,13410,1965406,15,342545,109710,2
0.933854648,0,Mexican Fawnsfoot,Truncilla cognata,Invertebrate,Threatened,Not listed,G1Q,S1,1,,,,,,,,,,
0.985445257,0,Peck's Cave Amphipod,Stygobromus pecki,Invertebrate,Endangered,Endangered,G1G2,S1,1.5,,,,,,,,,,
0.457545565,0,Pecos Amphipod,Gammarus pecos,Invertebrate,Endangered,Endangered,G1,S1,1,,UNK,1000,5000,1400,7400,2,4900,3700,
0.88430379,0,Pecos Assiminea,Assiminea pecos,Invertebrate,Endangered,Endangered,G1,S1,1,,5,153170,148670,14750,316590,11,74127,13650,5
0.954713026,0,Phantom Cave Snail,Pyrgulopsis texana,Invertebrate,Endangered,Endangered,G1,S1,1,,UNK,1000,0,0,1000,1,1000,1000,
0.167752939,0,Phantom Spring Snail,Tryonia cheatumi,Invertebrate,Endangered,Endangered,G1,S1,1,,UNK,20000,2910,0,22910,3,20310,2500,
0.089620982,1,Reddell Harvestman,Texella reddelli,Invertebrate,,Endangered,G2G3,S2,2.5,1994/08/25 00:00:00,2C,64575,70950,14251,149776,15,33350,5200,2
0.158283406,0,Robber Baron Cave Meshweaver,Cicurina baronia,Invertebrate,,Endangered,G1,S1,1,2011/09/12 00:00:00,5C,360569,46190,13026,419785,15,203100,10098,5
0.222557096,0,Salina Mucket,Potamilus metnecktayi,Invertebrate,Threatened,Not listed,G1,S1,1,,,,,,,,,,
0.222571571,0,Sandbank Pocketbook,Lampsilis satura,Invertebrate,Threatened,Not listed,G2,S1,2,,,,,,,,,,
0.302651324,0,Smooth Pimpleback,Quadrula houstonensis,Invertebrate,Threatened,Candidate,G2,S1S2,2,,,,,,,,,,
