ref_sci,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp
Pongo pygmaeus,498864,499164,0,998028,1,998028,998028
Porites napopora,0,349861,0,349861,1,349861,349861
Portulaca sclerocarpa,264616,2466114,6359,2737089,15,468510,175955
Potamilus capax,1373786,2059556,196164,3629506,15,412220,210428
Potamilus inflatus,171000,155635,59960,386595,15,67879,21889
Potamogeton clystocarpus,13600,0,13750,27350,12,6750,2000
Potentilla hickmanii,101769,21700,0,123469,15,20570,7500
Potentilla robbinsiana,0,700,0,700,1,700,700
Primula maguirei,41800,75648,400,117848,12,32000,3300
Prionailurus (=Felis) bengalensis bengalensis,10821,9822,0,20643,1,20643,20643
Pristis pectinata,1300,10323589,119840,10444729,13,1555876,722706.5
Pristis pristis,0,209903,0,209903,1,209903,209903
Pritchardia aylmer-robinsonii,24031,10275,9379,43685,9,25310,3300
Pritchardia hardyi,34307,1577,4320,40204,6,10670,6723.5
Pritchardia kaalae,65496,1425502,6182,1497180,15,176656,109187
Pritchardia lanigera,24648,0,0,24648,1,24648,24648
Pritchardia maideniana,13926,19400,0,33326,1,33326,33326
Pritchardia munroi,536506,1577,9517,547600,15,173651,5964
Pritchardia napaliensis,46155,18277,9447,73879,14,21200,3475.5
Pritchardia remota,133231,3984,3343,140558,14,76141,3678
Pritchardia schattaueri,119951,1577,27361,148889,15,19364,9500
Pritchardia viscosa,67200,1577,20554,89331,15,17181,5351
Prunus geniculata,222401,116651,36870,375922,15,39400,26150
Pseudemys alabamensis,456600,264058,71010,791668,14,124759,71219
Pseudemys rubriventris bangsi,135610,32170,66321,234101,12,41408,17296.5
Pseudobahia bahiifolia,267103,263242,200,530545,15,115800,37388
Pseudobahia peirsonii,298137,189272,0,487409,15,143651,20066
Pseudocopaeodes eunus obscurus,905761,735529,27000,1668290,15,211855,119186
Pseudonestor xanthophrys,2411040,257082,306642,2974764,15,1063600,142368
Pseudorca crassidens,0,704890,0,704890,2,607149,352445
Pseudotryonia adamantina,20000,310,0,20310,1,20310,20310
Psittirostra psittacea,79260,27792,556,107608,15,33512,6300
Psychotria grandiflora,75572,1577,5456,82605,6,19571,13726
Psychotria hexandra ssp. oahuensis,36867,424,2796,40087,3,13856,13465
Psychotria hobdyi,46759,1577,6171,54507,6,13527,8578.5
Pteralyxia kauaiensis,92223,55325,16842,164390,15,43500,6856
Pteralyxia macrocarpa,63772,1042,2796,67610,3,49814,9043
Pteris lidgatei,149909,973255,4992,1128156,15,177812,69859
Pterodroma cahow,4700,15000,0,19700,5,15000,2000
Pterodroma phaeopygia,3001894,3138044,13000,6152938,14,818293,420043.5
Pterodroma sandwichensis,384243,1046898,130000,1561141,1,1561141,1561141
Pteropus mariannus mariannus,1968667,4555027,262800,6786494,15,1729744,208212
Pteropus tokudae,77802,478800,0,556602,13,301600,3500
Ptilimnium nodosum,462384,336214,117370,915968,15,98682,53252
Ptychobranchus greenii,160050,82818,30340,273208,12,32300,22340.5
Ptychobranchus jonesi,20969,98926,0,119895,3,56061,45634
Ptychobranchus subtentum,45100,12339,0,57439,2,29370,28719.5
Ptychocheilus lucius,32297893,84777269,4382515,121457677,15,25622891,3319643.5
Puffinus auricularis newelli,5159156,17451701,179100,22789957,15,17372401,406696
Puma (=Felis) concolor coryi,11651221,13400370,26644001,51695592,15,6881300,2649394
Puma (=Felis) concolor costaricensis,0,40480,0,40480,1,40480,40480
Puma (=Felis) concolor couguar,198216,331088,54774,584078,15,189637,30386
Purshia (=Cowania) subintegra,47617,131550,9700,188867,15,23000,14000
Pyrgulopsis (=Marstonia) pachyta,61200,6109,0,67309,12,26000,3993.5
Pyrgulopsis bernardina,96730,1100,17060,114890,4,56180,26400
Pyrgulopsis bruneauensis,1569790,497319,100793,2167902,15,349245,175273
Pyrgulopsis chupaderae,8000,0,0,8000,3,7000,500
Pyrgulopsis idahoensis,421250,158254,0,579504,3,333516,192776
Pyrgulopsis neomexicana,66500,400,9110,76010,15,60000,1300
Pyrgulopsis ogmorhaphe,173400,5577,0,178977,15,39000,5600
Pyrgulopsis roswellensis,77006,24100,7050,108156,11,14000,10100
Pyrgulopsis texana,1000,0,0,1000,1,1000,1000
Pyrgulopsis trivialis,7030,975,74490,82495,4,38720,18250
Pyrgus ruralis lagunae,2045621,196011,0,2241632,14,873350,59006.5
Quadrula cylindrica cylindrica,158948,278358,3250,440556,2,265706,220278
Quadrula cylindrica strigillata,376023,300047,19455,695525,15,222149,41599
Quadrula fragosa,2947388,2493911,104000,5545299,15,895983,187218.5
Quadrula intermedia,832486,1597049,21742,2451277,15,692941,40046
Quadrula sparsa,381115,183172,5600,569887,15,184382,20555
Quadrula stapes,6400,53497,13200,73097,12,26900,3550
Quercus hinckleyi,15305,100,13950,29355,12,7600,500
Rallus longirostris levipes,1071253,5500377,56160,6627790,15,1812036,353378
Rallus longirostris obsoletus,5205255,5128222,103985,10437462,15,1631134,578036
Rallus longirostris yumanensis,1573155,23171932,476880,25221967,15,5260085,848554
Rallus owstoni,3712911,4911513,0,8624424,15,1664928,335200
Rana chiricahuensis,3049604,5352525,2269403,10671532,14,1702694,724024
Rana draytonii,9080385,24976047,0,34056432,7,8087462,4487346
Rana muscosa,2547884,5300576,40310,7888770,14,1023848,366575
Rana pretiosa,1848470,243923,66000,2158393,2,1481712,1079196.5
Rana sevosa,1031270,582730,91009,1705009,5,470425,298832
Rana sierrae,1067266,701702,0,1768968,2,1238230,884484
Rangifer tarandus caribou,3865045,567694,535654,4968393,15,680317,268069
Ranunculus aestivalis (=acriformis),150284,36490,1600,188374,15,40450,4600
Reithrodontomys raviventris,4161390,5574913,545000,10281303,15,2108454,469888
Remya kauaiensis,51180,2677,19782,73639,15,10608,3964
Remya mauiensis,81222,1987,8369,91578,15,11674,6100
Remya montgomeryi,124754,2677,20594,148025,14,45300,5088
Rhadine exilis,297000,1286884,14012,1597896,14,262600,90276
Rhadine infernalis,441500,1567665,19114,2028279,15,417345,109252
Rhadine persephone,124758,31917,13352,170027,14,50000,6183.5
Rhaphiomidas terminatus abdominalis,2362441,5094,200,2367735,14,1673466,51625
Rhinichthys osculus lethoporus,102232,79330,400,181962,11,54733,9580
Rhinichthys osculus nevadensis,2365770,229492,18100,2613362,15,1005996,58462
Rhinichthys osculus oligoporus,303383,23810,6450,333643,12,70030,26345.5
Rhinichthys osculus ssp.,668707,231400,52063,952170,15,178300,54500
Rhinichthys osculus thermalis,72141,129934,0,202075,15,30600,11504
Rhinoceros sondaicus,172040,172040,0,344080,1,344080,344080
Rhinoceros unicornis,219323,219473,0,438796,1,438796,438796
Rhinoptilus bitorquatus,794,0,0,794,1,794,794
Rhodiola integrifolia ssp. leedyi,74366,12220,300,86886,6,38490,10810
Rhododendron chapmanii,493708,135091,11000,639799,15,438500,14800
Rhus michauxii,374268,1917661,122825,2414754,15,332962,163520
Rhynchopsitta pachyrhyncha,13500,0,0,13500,2,10000,6750
Rhynchospora knieskernii,154254,672598,2834,829686,15,184356,40000
Ribes echinellum,245873,104105,14300,364278,15,98463,20100
Rorippa gambellii,478912,161683,3100,643695,15,107261,45456
Rostrhamus sociabilis plumbeus,4083219,8383357,244272,12710848,15,1689190,955039
Sagittaria fasciculata,235200,28713,35449,299362,15,66892,10510
Sagittaria secundifolia,20200,27204,7500,54904,12,14550,3010
Saguinus oedipus,0,150,0,150,1,150,150
Salmo salar,19498718,103426162,4314225,127239105,15,13145296,7607662
Salvelinus confluentus,122006045,333881658,33508865,489396568,15,43809838,32135507
Sanicula mariversa,191773,1398088,3343,1593204,15,170871,115477
Sanicula purpurea,108917,882728,8753,1000398,15,169638,69559
Santalum haleakalae var. lanaiense,15382,0,2131,17513,1,17513,17513
Sarracenia oreophila,405500,387632,13313,806445,15,240905,42986
Sarracenia rubra ssp. alabamensis,37000,0,0,37000,3,16000,11500
Sarracenia rubra ssp. jonesii,852100,38816,25940,916856,15,665629,14177
Scaevola coriacea,65212,50277,18834,134323,13,23195,7400
Scaphirhynchus albus,27449494,487500125,3050671,518000290,15,68778575,41385379
Scaphirhynchus platorynchus,29000,271634,0,300634,5,92547,63000
Scaphirhynchus suttkusi,1522700,331931,159195,2013826,15,497500,55200
Schenkia sebaeoides,8743,0,0,8743,1,8743,8743
Schiedea adamantis,189674,43487,11685,244846,15,97100,7500
Schiedea apokremnos,41273,2397,3343,47013,14,8642,2760
Schiedea attenuata,45883,1577,2796,50256,6,15958,7564.5
Schiedea diffusa ssp. macraei,24204,624,0,24828,2,17481,12414
Schiedea haleakalensis,64852,220291,5619,290762,15,56700,14264
Schiedea hawaiiensis,15063,293947,0,309010,2,156721,154505
Schiedea helleri,43357,1577,7083,52017,14,8773,3900
Schiedea hookeri,74969,344248,3743,422960,15,79856,16791
Schiedea jacobii,34474,1042,2796,38312,3,19525,10243
Schiedea kaalae,154356,879453,16154,1049963,15,199645,19052
Schiedea kauaiensis,125978,42939,20407,189324,15,42819,4864
Schiedea kealiae,49357,530752,5704,585813,15,148171,11229
Schiedea laui,39491,1042,2796,43329,3,18596,14754
Schiedea lychnoides,19145,0,0,19145,1,19145,19145
Schiedea lydgatei,43443,1577,3343,48363,14,10413,2300
Schiedea membranacea,145585,2677,22994,171256,15,44900,5851
Schiedea nuttallii,136461,1444016,28144,1608621,15,198345,116029
Schiedea obovata,31621,365704,2796,400121,4,168654,112120.5
Schiedea salicaria,24461,1042,2796,28299,3,11366,8633
Schiedea sarmentosa,44784,1577,3343,49704,14,10413,2450
Schiedea spergulina var. leiopoda,44470,11415,3343,59228,14,13038,3628
Schiedea spergulina var. spergulina,41814,21491,3343,66648,14,20275,3500
Schiedea stellarioides,53506,2222,5244,60972,14,12240,3050
Schiedea trinervis,28810,465293,2796,496899,4,168654,118512
Schiedea verticillata,59722,1577,3343,64642,14,20426,2528
Schiedea viscosa,8190,0,0,8190,1,8190,8190
Schoenocrambe argillacea,68600,60495,2000,131095,15,33000,7000
Schoenocrambe barnebyi,88800,45279,2000,136079,15,35000,7000
Schoenocrambe suffrutescens,241800,55409,400,297609,15,104050,7300
Schoepfia arenaria,70300,1200,0,71500,14,12800,5500
Schwalbea americana,506634,3060172,134745,3701551,14,742249,239299
Scirpus ancistrochaetus,243997,88141,51922,384060,15,96426,15841
Sciurus niger cinereus,3671988,2972456,243745,6888189,15,1616739,157424
Sclerocactus brevihamatus ssp. tobuschii,200000,6730,0,206730,4,101300,42315
Sclerocactus brevispinus,253600,199775,0,453375,7,159275,60000
Sclerocactus glaucus,357837,1062937,8455,1429229,15,211113,90933
Sclerocactus mesae-verdae,54943,459983,0,514926,9,111800,58808
Sclerocactus wetlandicus,297880,180630,0,478510,7,98025,72230
Sclerocactus wrightiae,191100,848082,400,1039582,14,148600,75600
Scutellaria floridana,116650,383499,7750,507899,15,129062,29500
Scutellaria montana,290400,735663,12348,1038411,14,207071,46982.5
Sebastes paucispinis,0,2466691,665434,3132125,5,891384,608655
Sebastes pinniger,0,2555187,734508,3289695,5,918885,628991
Sebastes ruberrimus,0,2554787,740062,3294849,5,919200,631230
Senecio layneae,278524,946222,0,1224746,15,327300,42200
Serianthes nelsonii,676998,421824,27000,1125822,15,388448,7000
Seriatopora aculeata,0,477704,0,477704,1,477704,477704
Sesbania tomentosa,512443,247234,27241,786918,15,254859,38795
Setophaga kirtlandii (= Dendroica kirtlandii),714700,1337886,703000,2755586,3,1328238,744747
Sibara filifolia,99607,1818711,0,1918318,15,422122,140348
Sicyos albus,11176,923,2131,14230,1,14230,14230
Sidalcea keckii,285735,72138,500,358373,15,63800,19691
Sidalcea nelsoniana,2625029,1054725,22229,3701983,15,772222,164301
Sidalcea oregana ssp. valida,51167,15020,1300,67487,11,15000,5090
Sidalcea oregana var. calva,1345359,198920,12300,1556579,15,730017,41500
Sidalcea pedata,110056,431328,900,542284,11,272735,6685
Silene alexandri,103140,1577,8926,113643,14,20842,6775.5
Silene hawaiiensis,236989,2420429,5575,2662993,15,474510,169224
Silene lanceolata,156724,2499585,8759,2665068,15,454010,172214
Silene perlmanii,76689,1577,13784,92050,15,15650,3600
Silene polypetala,197350,56887,50500,304737,15,54000,14391
Silene spaldingii,3295861,1832720,142287,5270868,14,736359,387857
Sisyrinchium dichotomum,189000,24076,23093,236169,15,24900,17050
Solanum drymophilum,63100,580,0,63680,14,12000,3500
Solanum incompletum,206426,2426876,10002,2643304,15,460010,169937
Solanum sandwicense,203167,13187,30237,246591,15,53410,14400
Solidago albopilosa,172900,67100,4900,244900,14,44000,13350
Solidago houghtonii,242652,83008,2200,327860,14,110966,16971.5
Solidago shortii,1149600,23140,15987,1188727,15,563900,21100
Solidago spithamaea,37700,24375,1166,63241,13,14600,5000
Somateria fischeri,7786141,7157389,15400,14958930,15,2073330,1027630
Somatochlora hineana,2778851,548550,510574,3837975,15,441738,248068
Sorex ornatus relictus,1197589,424384,2500,1624473,14,553033,71020.5
Spelaeorchestia koloana,410901,4000,0,414901,15,82885,16663
Speoplatyrhinus poulsoni,112900,7651,9957,130508,15,35000,3600
Spermolepis hawaiiensis,166318,2781422,12173,2959913,15,456817,197596
Speyeria callippe callippe,706456,1241279,0,1947735,13,1229185,51216
Speyeria zerene behrensii,583347,39790,0,623137,14,100239,36030.5
Speyeria zerene hippolyta,4884561,2682679,76200,7643440,15,1506725,437915
Speyeria zerene myrtleae,126304,125456,0,251760,13,47656,17735
Sphaeralcea gierischii,8350,167000,2000,177350,3,66400,63350
Sphaerodactylus micropithecus,59300,100,0,59400,13,9500,5500
Spheniscus demersus,24000,0,0,24000,1,24000,24000
Sphyrna lewini,0,714891,0,714891,1,336849,208119
Spigelia gentianoides,129600,124247,9120,262967,15,53470,16001
Spiraea virginiana,3106698,591720,38708,3737126,15,1622460,104027
Spiranthes delitescens,21746,796242,14700,832688,15,430450,3635
Spiranthes diluvialis,1609981,7383297,156597,9149875,15,2789999,436487
Spiranthes parksii,391200,438496,33539,863235,15,250680,37020
Stahlia monosperma,244800,400,0,245200,14,93500,10750
Stenogyne angustifolia angustifolia,63986,914741,4320,983047,5,283046,180476
Stenogyne bifida,91278,1577,6463,99318,15,20250,4648
Stenogyne campanulata,67404,2677,5384,75465,15,15515,3500
Stenogyne cranwelliae,14414,747,0,15161,2,9588,7580.5
Stenogyne kanehoana,65869,1006937,8804,1081610,15,292168,49349
Stenogyne kauaulaensis,47166,1042,2796,51004,3,18256,16741
Stenogyne kealiae,73094,1577,4969,79640,6,19571,14309.5
Stephanomeria malheurensis,380451,157980,21429,559860,15,117500,30028
Sterna antillarum,12059553,117613233,1657417,131330203,15,12066118,2785260
Sterna antillarum browni,4940890,27055020,194120,32190030,15,7463329,1788578
Sterna dougallii dougallii,7358450,3860664,564292,11783406,15,5775812,202524.5
Sternotherus depressus,267100,97769,18500,383369,14,89300,16574.5
Streptanthus albidus ssp. albidus,319935,82423,0,402358,12,95182,25408.5
Streptanthus niger,101421,2423,0,103844,10,32116,8114.5
Streptocephalus woottoni,3487465,2339692,11400,5838557,15,1841159,300496
Strix occidentalis caurina,51171283,103561990,7695951,162429224,15,20465308,9511004
Strix occidentalis lucida,3759607,52794878,758354,57312839,15,6579778,3560723
Strymon acis bartrami,213259,28650,0,241909,2,175509,120954.5
Stygobromus (=Stygonectes) pecki,469080,23038,17450,509568,15,149814,21126
Stygobromus hayi,89903,51213,0,141116,11,51478,9408
Stygoparnus comalensis,583008,21978,16782,621768,15,254886,19659
Styrax portoricensis,59400,32534,0,91934,14,32034,3700
Styrax texanus,98700,2900,160038,261638,14,58300,8065
Suaeda californica,457960,13468,400,471828,15,75740,33843
Succinea chittenangoensis,128102,46741,35250,210093,15,67700,10693
Swallenia alexandrae,322811,160419,1000,484230,15,104116,17378
Sylvilagus bachmani riparius,2286705,6874304,118600,9279609,15,1781472,434789
Sylvilagus palustris hefneri,521383,1389551,0,1910934,14,307659,111564
Syncaris pacifica,277831,777193,0,1055024,15,254983,51376
Tamiasciurus hudsonicus grahamensis,751326,869875,433615,2054816,15,285000,114600
Taraxacum californicum,349142,665616,200,1014958,14,272735,53791.5
Tartarocreagris texana,101041,37320,15326,153687,15,50000,5598
Taylorconcha serpenticola,2585271,931688,6973,3523932,15,367026,244545
Tectaria estremerana,47600,100,0,47700,14,8000,2500
Telespyza cantans,127070,27094,0,154164,15,29400,6613
Telespyza ultima,150828,53026,0,203854,12,70677,10000
Ternstroemia luquillensis,51400,100,0,51500,13,11000,2000
Ternstroemia subsessilis,53200,500,0,53700,14,10400,2000
Tetramolopium arenarium,62242,2260284,12819,2335345,15,454010,163163
Tetramolopium capillare,51691,2397,2896,56984,13,15820,2320
Tetramolopium filiforme,70045,1457256,6439,1533740,15,182479,113459
Tetramolopium lepidotum ssp. lepidotum,92863,24848,9724,127435,15,29383,6300
Tetramolopium remyi,84450,6077,7115,97642,15,18250,4564
Tetramolopium rockii,60712,114115,4308,179135,14,42356,4350
Tetrao urogallus cantabricus,794,0,0,794,1,794,794
Texamaurops reddelli,88566,30320,18454,137340,15,30500,5000
Texella cokendolpheri,121574,8420,11226,141220,12,75000,7890
Texella reddelli,64575,70950,14251,149776,15,33350,5200
Texella reyesi,1655600,1586106,21051,3262757,15,1361780,28350
Thaleichthys pacificus,8500,4546466,221251,4776217,5,1112983,1007420
Thalictrum cooleyi,162200,50946,31674,244820,15,46320,12946
Thamnophis eques megalops,131500,468753,143300,743553,2,415440,371776.5
Thamnophis gigas,8719902,26251019,143200,35114121,15,7515428,1715992
Thamnophis rufipunctatus,105500,104000,95850,305350,2,182100,152675
Thamnophis sirtalis tetrataenia,1433392,2497535,9000,3939927,14,958482,194202.5
Thelypodium howellii spectabilis,618484,30310,21429,670223,13,142554,38307
Thelypodium stenopetalum,8911,446359,200,455470,10,272735,4100
Thelypteris inabonensis,63700,100,0,63800,14,13600,2750
Thelypteris pilosa var. alabamensis,19200,5358,0,24558,11,12500,1000
Thelypteris verecunda,60200,100,0,60300,14,10600,2750
Thelypteris yaucoensis,64400,100,0,64500,14,11300,3750
Thermosphaeroma thermophilus,17226,20900,28460,66586,15,9600,4200
Thlaspi californicum,155402,29200,700,185302,11,62600,7500
Thomomys mazama glacialis,100657,939422,19000,1059079,2,777329,529539.5
Thomomys mazama pugetensis,225762,9538,19000,254300,2,141205,127150
Thomomys mazama tumuli,932012,8938,19000,959950,2,880355,479975
Thomomys mazama yelmensis,210204,60938,19000,290142,2,147547,145071
Thymophylla tephroleuca,144400,69534,33144,247078,15,46813,12000
Thysanocarpus conchuliferus,36102,46240,1500,83842,12,18794,7047.5
Tiaroga cobitis,1186417,10990959,1525448,13702824,15,3459513,791160
Todiramphus cinnamominus,359794,1305226,0,1665020,1,1665020,1665020
Torreya taxifolia,181561,347240,83300,612101,15,143200,25668
Townsendia aprica,20500,518962,1200,540662,15,78615,27128
Toxolasma cylindrellus,257100,26904,10546,294550,14,112561,12900
Trematolobelia singularis,181835,1577,5498,188910,15,123080,3200
Trichechus manatus,29204489,49167433,63429310,141801232,15,14707167,9737769
Trichechus senegalensis,2467522,0,0,2467522,1,2467522,2467522
Trichilia triacantha,76700,1116,0,77816,14,11500,4750
Trichostema austromontanum ssp. compactum,319810,0,0,319810,9,236321,8113
Trifolium amoenum,350589,1334422,500,1685511,13,1346100,24000
Trifolium stoloniferum,1001324,1206187,72819,2280330,15,310289,139277
Trifolium trichocalyx,40380,4444,0,44824,10,23200,1505.5
Trillium persistens,58700,35728,54250,148678,15,30250,6400
Trillium reliquum,273600,452947,44900,771447,15,119660,46350
Trimerotropis infantilis,274671,975,0,275646,13,74700,14049
Triodopsis platysayoides,942494,5290,79058,1026842,15,417698,8500
Tryonia alamosae,26000,12200,11410,49610,15,20000,1500
Tryonia cheatumi,20000,2910,0,22910,3,20310,2500
Tryonia circumstriata (=stocktonensis),0,100,0,100,1,100,100
Tuctoria greenei,438786,323795,1700,764281,15,200600,35780
Tuctoria mucronata,330976,55100,0,386076,15,76785,12841
Tulotoma magnifica,165050,277546,8200,450796,15,172589,16200
Tympanuchus cupido attwateri,7542459,829082,485571,8857112,15,1472559,376123
Typhlomolge rathbuni,762534,221669,187269,1171472,15,223010,50850
Uma inornata,2423728,838579,18300,3280607,15,1593186,59000
Uncia (=Panthera) uncia,0,2050,0,2050,1,2050,2050
Urera kaalae,91131,621247,10265,722643,15,292168,25006
Urocitellus brunneus,281520,28180,4207,313907,1,313907,313907
Urocyon littoralis catalinae,736724,202567,0,939291,12,209750,60468
Urocyon littoralis littoralis,612624,2662968,5000,3280592,12,494022,239888
Urocyon littoralis santacruzae,1253922,1274696,7000,2535618,12,507870,151016
Urocyon littoralis santarosae,521602,2464865,0,2986467,12,434313,293654.5
Ursus americanus luteolus,4683736,33073520,1053349,38810605,15,5613874,2027240
Ursus arctos,26517476,54206400,26707199,107431075,15,9699801,1456792.5
Ursus arctos horribilis,26517476,54200453,26707199,107425128,15,9699801,1899104
Ursus arctos pruinosus,0,5947,0,5947,1,5947,5947
Ursus maritimus,14013637,20486243,170877,34670757,8,6804746,3948349
Valvata utahensis,1192503,1663910,9973,2866386,9,497100,333226
Varronia rupicola,13100,100,0,13200,1,13200,13200
Verbena californica,31438,14680,0,46118,13,12300,1800
Verbesina dissita,56119,0,23800,79919,7,32485,3000
Vermivora bachmanii,29708,182215,3423,215346,14,131450,5229
Vernonia proctorii,76600,300,0,76900,14,11200,3500
Vetericaris chaceorum,26091,0,0,26091,2,15291,13045.5
Vicia menziesii,155997,23954,33153,213104,15,25653,14310
Vigna o-wahuensis,280059,2040299,15620,2335978,13,466817,188563
Villosa choctawensis,14569,113617,0,128186,3,79391,30100
Villosa fabalis,98531,354168,29976,482675,4,205607,105622
Villosa perpurpurea,1529107,120590,33175,1682872,15,217166,106527
Villosa trabalis,741879,482344,192692,1416915,15,165695,47573.5
Viola chamissoniana ssp. chamissoniana,71698,1540072,4317,1616087,15,200345,113977
Viola helenae,103031,1777,6855,111663,14,22181,5575.5
Viola kauaiensis var. wahiawaensis,98021,2087,7083,107191,14,23181,6082
Viola lanaiensis,95499,6277,8027,109803,14,20250,6422
Viola oahuensis,244485,930939,5011,1180435,15,168419,69663
Vireo atricapilla,4436915,16290764,512940,21240619,15,4606463,1127323
Vireo bellii pusillus,6117617,38730185,220000,45067802,15,6925553,2872828
Vulpes macrotis mutica,7820165,22020125,123400,29963690,15,4276236,1528053
Vultur gryphus,196188,0,0,196188,1,196188,196188
Warea amplexifolia,89900,7417,84880,182197,15,32600,8600
Warea carteri,92151,11397,20700,124248,15,18000,6700
Wikstroemia villosa,55145,1342,2796,59283,3,29772,19543
Wilkesia hobdyi,49880,115390,20766,186036,15,56288,3600
Xantusia riversiana,340044,1210291,100,1550435,13,513172,37859
Xylosma crenatum,132167,2677,7507,142351,15,42400,5251
Xyrauchen texanus,14319509,126758133,4939337,146016979,15,12859508,9539766
Xyris tennesseensis,678150,56870,40606,775626,15,546825,15886
Yermo xanthocephalus,94062,173494,0,267556,14,40913,20122
Zanthoxylum dipetalum var. tomentosum,182861,11497,20341,214699,15,48980,9820
Zanthoxylum hawaiiense,228935,2477065,15949,2721949,15,459510,173191
Zanthoxylum oahuense,78131,1142,2796,82069,3,55917,15111
Zanthoxylum thomasianum,73500,37459,0,110959,15,25000,4000
Zapus hudsonius luteus,385607,461084,50500,897191,2,610926,448595.5
Zapus hudsonius preblei,3264351,8540178,1051043,12855572,15,2182861,629701
Zizania texana,3040752,48569,144290,3233611,15,674346,247550
Ziziphus celata,589070,51118,253920,894108,15,104500,61500
Zosterops conspicillatus conspicillatus,92644,2500,0,95144,13,44227,1900
Zosterops rotensis,956220,92393,0,1048613,12,272767,46152
