ref_sci,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp
Cyanea eleeleensis,45519,1577,2796,49892,6,16091,6807.5
Cyanea gibsonii,14068,0,2131,16199,1,16199,16199
Cyanea glabra,122865,65112,4330,192307,15,37489,10950
Cyanea grimesiana ssp. grimesiana,210668,151657,16222,378547,15,155308,14634
Cyanea grimesiana ssp. obatae,93659,1125758,12244,1231661,15,190345,107290
Cyanea hamatiflora ssp. carlsonii,322571,954,31295,354820,11,98780,20524
Cyanea hamatiflora ssp. hamatiflora,139311,72832,3764,215907,14,54489,10866
Cyanea horrida,66811,2442,2796,72049,3,27328,27142
Cyanea humboldtiana,222545,300059,5666,528270,15,136369,23182
Cyanea kolekoleensis,48697,121121,2796,172614,6,128505,11097
Cyanea koolauensis,228487,923528,5666,1157681,15,177305,72146
Cyanea kuhihewa,47285,1577,2796,51658,6,16091,7798
Cyanea kunthiana,33375,1618,2796,37789,3,19205,10160
Cyanea lanceolata,76845,918,2796,80559,3,48393,24137
Cyanea lobata,166982,5454,14505,186941,14,25010,13649.5
Cyanea longiflora,63784,1201083,9345,1274212,15,168979,109176
Cyanea magnicalyx,41263,1042,2796,45101,3,16140,15686
Cyanea mannii,185984,1577,3343,190904,14,151089,2300
Cyanea maritae,48422,1742,2796,52960,3,19623,17080
Cyanea marksii,35276,747,2131,38154,2,24558,19077
Cyanea mauiensis,25849,1042,2796,29687,3,11791,9352
Cyanea mceldowneyi,113462,1577,3930,118969,14,29096,7379.5
Cyanea munroi,36190,1042,2796,40028,3,16160,14824
Cyanea obtusa,48591,1042,2796,52429,3,19695,16727
Cyanea pinnatifida,77938,1577,14031,93546,15,16830,5533
Cyanea platyphylla,223538,5277,23460,252275,15,90738,8866
Cyanea procera,107703,1577,7902,117182,15,22250,6000
Cyanea profuga,189873,747,2796,193416,3,159195,18214
Cyanea purpurellifolia,47005,747,2796,50548,3,31585,9601
Cyanea recta,111833,1577,3343,116753,14,40500,3150
Cyanea remyi,69691,1577,4582,75850,14,20998,3243.5
Cyanea rivularis,24247,0,0,24247,1,24247,24247
Cyanea shipmanii,546049,55960,15806,617815,9,171010,59500
Cyanea solanacea,190468,1142,2796,194406,3,159295,18256
Cyanea st.-johnii,116645,694792,4964,816401,8,176545,98795
Cyanea stictophylla,316522,67657,29930,414109,15,101280,22300
Cyanea superba,84421,1394061,14748,1493230,15,170329,112108
Cyanea tritomantha,46237,8713,0,54950,2,32264,27475
Cyanea truncata,115055,1577,15437,132069,15,21218,7967
Cyanea undulata,86758,1577,7395,95730,15,16589,4000
Cyathea dryopteroides,45700,100,0,45800,12,8600,2500
Cycladenia humilis var. jonesii,21600,314675,4300,340575,4,106400,84537.5
Cyclargus (=Hemiargus) thomasi bethunebakeri,268039,49685,12947,330671,4,227369,40001
Cyclura collei,69993,69993,0,139986,1,139986,139986
Cyclura nubila nubila,0,28800,0,28800,1,28800,28800
Cyclura stejnegeri,151500,100,71000,222600,7,56500,31500
Cynomys parvidens,2526972,8033932,1947977,12508881,15,2158509,732002
Cyperus fauriei,6390,0,0,6390,1,6390,6390
Cyperus pennatiformis,109090,294,5592,114976,4,80782,12919
Cyperus trachysanthos,168864,241437,5444,415745,15,96500,16180
Cyprinella caerulea,405600,979259,57074,1441933,15,355376,64141
Cyprinella formosa,512600,162695,153560,828855,15,222929,21300
Cyprinodon bovinus,397732,500,157303,555535,15,92150,27600
Cyprinodon diabolis,2881152,4127255,41600,7050007,15,1138620,478550
Cyprinodon elegans,1152215,258000,160943,1571158,15,228625,75000
Cyprinodon macularius,1089828,3505128,1261680,5856636,15,973774,338085
Cyprinodon nevadensis mionectes,2365394,109354,23900,2498648,15,888000,71265
